NAME,FAMILY,HEX,RED,GREEN,BLUE
IndianRed,red,#CD5C5C,205,92,92
LightCoral,red,#F08080,240,128,128
Salmon,red,#FA8072,250,128,114
DarkSalmon,red,#E9967A,233,150,122
LightSalmon,red,#FFA07A,255,160,122
Crimson,red,#DC143C,220,20,60
Red,red,#FF0000,255,0,0
FireBrick,red,#B22222,178,34,34
DarkRed,red,#8B0000,139,0,0
Pink,pink,#FFC0CB,255,192,203
LightPink,pink,#FFB6C1,255,182,193
HotPink,pink,#FF69B4,255,105,180
DeepPink,pink,#FF1493,255,20,147
MediumVioletRed,pink,#C71585,199,21,133
PaleVioletRed,pink,#DB7093,219,112,147
LightSalmon,orange,#FFA07A,255,160,122
Coral,orange,#FF7F50,255,127,80
Tomato,orange,#FF6347,255,99,71
OrangeRed,orange,#FF4500,255,69,0
DarkOrange,orange,#FF8C00,255,140,0
Orange,orange,#FFA500,255,165,0
Gold,yellow,#FFD700,255,215,0
Yellow,yellow,#FFFF00,255,255,0
LightYellow,yellow,#FFFFE0,255,255,224
LemonChiffon,yellow,#FFFACD,255,250,205
LightGoldenrodYellow,yellow,#FAFAD2,250,250,210
PapayaWhip,yellow,#FFEFD5,255,239,213
Moccasin,yellow,#FFE4B5,255,228,181
PeachPuff,yellow,#FFDAB9,255,218,185
PaleGoldenrod,yellow,#EEE8AA,238,232,170
Khaki,yellow,#F0E68C,240,230,140
DarkKhaki,yellow,#BDB76B,189,183,107
Lavender,purple,#E6E6FA,230,230,250
Thistle,purple,#D8BFD8,216,191,216
Plum,purple,#DDA0DD,221,160,221
Violet,purple,#EE82EE,238,130,238
Orchid,purple,#DA70D6,218,112,214
Fuchsia,purple,#FF00FF,255,0,255
Magenta,purple,#FF00FF,255,0,255
MediumOrchid,purple,#BA55D3,186,85,211
MediumPurple,purple,#9370DB,147,112,219
RebeccaPurple,purple,#663399,102,51,153
BlueViolet,purple,#8A2BE2,138,43,226
DarkViolet,purple,#9400D3,148,0,211
DarkOrchid,purple,#9932CC,153,50,204
DarkMagenta,purple,#8B008B,139,0,139
Purple,purple,#800080,128,0,128
Indigo,purple,#4B0082,75,0,130
SlateBlue,purple,#6A5ACD,106,90,205
DarkSlateBlue,purple,#483D8B,72,61,139
MediumSlateBlue,purple,#7B68EE,123,104,238
GreenYellow,green,#ADFF2F,173,255,47
Chartreuse,green,#7FFF00,127,255,0
LawnGreen,green,#7CFC00,124,252,0
Lime,green,#00FF00,0,255,0
LimeGreen,green,#32CD32,50,205,50
PaleGreen,green,#98FB98,152,251,152
LightGreen,green,#90EE90,144,238,144
MediumSpringGreen,green,#00FA9A,0,250,154
SpringGreen,green,#00FF7F,0,255,127
MediumSeaGreen,green,#3CB371,60,179,113
SeaGreen,green,#2E8B57,46,139,87
ForestGreen,green,#228B22,34,139,34
Green,green,#008000,0,128,0
DarkGreen,green,#006400,0,100,0
YellowGreen,green,#9ACD32,154,205,50
OliveDrab,green,#6B8E23,107,142,35
Olive,green,#808000,128,128,0
DarkOliveGreen,green,#556B2F,85,107,47
MediumAquamarine,green,#66CDAA,102,205,170
DarkSeaGreen,green,#8FBC8B,143,188,139
LightSeaGreen,green,#20B2AA,32,178,170
DarkCyan,green,#008B8B,0,139,139
Teal,green,#008080,0,128,128
Aqua,blue,#00FFFF,0,255,255
Cyan,blue,#00FFFF,0,255,255
LightCyan,blue,#E0FFFF,224,255,255
PaleTurquoise,blue,#AFEEEE,175,238,238
